Ppd_D1,NLP3_3B,Plant_height_[cm],Spike_length_[cm],Spikelets_per_spike,Tiller_number,Internode_1_length_[cm],Internode_2_length_[cm],Internode_3_length_[cm],Internode_4_length_[cm],Internode_5_length_[cm],Internode_6_length_[cm],Spike_weight_[g],Culm_weight_[g],Number_of_grains_per_spike,Grain_weight_per_spike_[g],Grain_weight_per_plant_[ln(g)],Thousand_kernel_weight_[g],Time_before_heading_[days],Time_before_anthesis_[days],Spike_density,Grains_in_spikelet,Internode_number,Harvest_index
aa,GG,59.5,7.0,16.0,,23.0,12.5,9.5,5.5,1.0,,1.39,0.7,22.0,0.84,0.8285518175661483,38.18181818181818,50.0,52,22.85714285714286,1.375,5.0,0.4019138755980861
aa,GG,60.0,7.0,16.0,4.0,27.0,15.5,7.0,3.0,,,1.67,0.62,29.0,1.14,1.01160091167848,39.31034482758621,50.0,52,22.85714285714286,1.8125,4.0,0.4978165938864628
aa,GG,57.5,6.0,15.0,2.0,21.5,12.5,9.5,5.0,2.0,,1.18,0.6,20.0,0.8,0.02955880224154443,40.0,50.0,52,25.0,1.333333333333333,5.0,0.4494382022471911
aa,GG,55.5,6.5,14.0,2.0,27.5,13.0,6.5,3.0,,,1.44,0.51,27.0,1.06,0.8153648132841944,39.25925925925926,50.0,52,21.53846153846154,1.928571428571429,4.0,0.5435897435897437
aa,GG,52.0,5.5,,3.0,20.5,12.5,8.0,5.0,0.5,,1.44,0.47,26.0,0.98,0.9895411936137477,37.69230769230769,50.0,52,,,5.0,0.5130890052356021
aa,GG,61.0,6.0,,,24.5,13.5,9.0,6.0,2.0,,0.57,0.52,6.0,0.23,0.7419373447293773,38.33333333333334,50.0,52,,,5.0,
aa,GG,65.0,7.5,16.0,,31.0,14.0,8.0,5.0,,,2.1,0.8,41.0,1.59,1.373715578913031,38.78048780487805,50.0,52,21.33333333333333,2.5625,4.0,0.5482758620689655
aa,GG,53.5,6.0,,2.0,28.5,12.5,,,,,1.2,0.42,23.0,0.83,0.7701082216960737,36.08695652173913,50.0,52,,,4.0,0.5123456790123457
aa,GG,55.0,5.5,14.0,2.0,21.0,10.5,8.5,6.5,2.0,,0.97,0.47,15.0,0.57,0.131028262406404,38.0,50.0,52,25.45454545454545,1.071428571428571,5.0,
aa,GG,54.5,6.0,,2.0,19.0,13.0,8.5,6.5,2.0,,0.91,0.44,17.0,0.62,0.5306282510621705,36.47058823529412,50.0,52,,,5.0,0.4592592592592592
